English,Turkish,English Answer,Turkish Answer
What are the core principles of Apple's Business Conduct Policy?,Apple'ın İş Ahlakı Politikasının temel ilkeleri nelerdir?,"Apple's core principles are: Honesty - demonstrate honesty and high ethical standards; Respect - treat customers, partners, suppliers, employees with respect; Confidentiality - protect Apple Confidential Information; Compliance - ensure business decisions comply with applicable laws and regulations.","Apple'ın temel ilkeleri şunlardır: Dürüstlük - tüm iş ilişkilerinde dürüstlük ve yüksek etik standartlar sergilemek; Saygı - müşterilere, ortaklara, tedarikçilere, çalışanlara ve diğerlerine saygı ve nezaket göstermek; Gizlilik - Apple'ın Gizli Bilgilerini korumak; Uyumluluk - iş kararlarının geçerli yasa ve düzenlemelere uygun olmasını sağlamak."
What ethical behavior does Apple expect from its employees?,"Apple, çalışanlarından hangi etik davranışları beklemektedir?","Apple expects employees to follow the Policy and exhibit appropriate workplace behavior, comply with the letter and spirit of the Business Conduct Policy and legal requirements, speak up if they see violations, use good judgment, ask questions when in doubt, and fully cooperate in any Apple investigation.","Apple çalışanlarından Politikaya uymalarını ve uygun işyeri davranışı sergilemelerini, İş Ahlakı Politikası'nın hem lafzına hem de ruhuna ve yasal gerekliliklere uymalarını, herhangi bir ihlal gördüklerinde seslerini yükseltmelerini, iyi muhakeme kullanmalarını, şüphe duyduklarında soru sormalarını ve herhangi bir Apple soruşturmasında tam işbirliği yapmalarını beklemektedir."
What responsibilities do employees have regarding compliance with laws and regulations?,Çalışanların yasalara ve düzenlemelere uyum konusundaki sorumlulukları nelerdir?,"Employees must comply with Apple's Business Conduct Policy and all legal requirements, report any violations, ensure business decisions comply with laws and regulations, complete required annual training, and be aware that non-compliance may result in disciplinary action up to termination.","Çalışanlar Apple'ın İş Ahlakı Politikası'na ve tüm yasal gerekliliklere uymak, herhangi bir ihlali bildirmek, iş kararlarının yasa ve düzenlemelere uygun olmasını sağlamak, zorunlu yıllık eğitimleri tamamlamak ve uyumsuzluğun işten çıkarılmaya kadar disiplin cezasıyla sonuçlanabileceğinin bilincinde olmak zorundadırlar."
What should an employee do if they suspect a policy violation?,"Bir çalışan, politika ihlali şüphesiyle karşılaştığında ne yapmalıdır?","If an employee suspects a policy violation, they should notify their manager, People Team, Legal, or Business Conduct. They can report concerns through the Business Conduct helpline (phone, email, web form) or use Apple's external helpline (apple.ethicspoint.com) which allows anonymous reporting where legally permissible.","Bir çalışan politika ihlalinden şüphelenirse, yöneticisini, İnsan Kaynakları Ekibini, Hukuk Departmanını veya İş Ahlakı bölümünü bilgilendirmelidir. Endişelerini İş Ahlakı yardım hattı aracılığıyla (telefon, e-posta, web formu) bildirebilir veya yasal olarak izin verilen yerlerde anonim raporlamaya olanak tanıyan Apple'ın dış yardım hattını (apple.ethicspoint.com) kullanabilir."
How does Apple's external reporting channel (apple.ethicspoint.com) work and when should it be used?,Apple'ın dış ihbar hattı (apple.ethicspoint.com) nasıl çalışır ve hangi durumlar için kullanılmalıdır?,"Apple's external helpline allows employees and external parties to report concerns with the option of anonymity where legally permissible. It provides local, toll-free phone numbers connecting to a multilingual reporting service. It should be used to report concerns about violations of Apple's Business Conduct Policy or when employees prefer an alternative to internal channels.","Apple'ın dış yardım hattı, çalışanların ve dış tarafların, yasal olarak izin verilen yerlerde anonim kalma seçeneğiyle endişelerini bildirmelerine olanak tanır. Çok dilli bir raporlama hizmetine bağlanan yerel, ücretsiz telefon numaraları sağlar. Apple'ın İş Ahlakı Politikası'nın ihlallerine ilişkin endişeleri bildirmek veya çalışanlar dahili kanallara alternatif tercih ettiklerinde kullanılmalıdır."
How is anonymity and confidentiality maintained in whistleblowing?,İhbarlarda anonimlik ve gizlilik nasıl sağlanır?,"Anonymity and confidentiality are maintained by offering an external helpline that allows anonymous reporting where legally permissible. Information is shared only with those who need to know to help investigate concerns. Apple's Global Whistleblowing Policy provides additional protections for individuals reporting misconduct.","Anonimlik ve gizlilik, yasal olarak izin verilen yerlerde anonim raporlamaya olanak tanıyan bir dış yardım hattı sunularak sağlanır. Bilgiler yalnızca endişeleri araştırmaya yardımcı olmak için bilmesi gerekenlerle paylaşılır. Apple'ın Küresel Whistleblowing Politikası, potansiyel suistimalleri bildiren kişiler için ek koruma sağlar."
How does Apple protect employees who report concerns in good faith?,"Apple, iyi niyetli ihbarlarda bulunan çalışanları nasıl korur?","Apple protects whistleblowers through a strict no-retaliation policy. The company does not tolerate retaliation against individuals reporting good-faith concerns internally or externally, or against those participating in investigations. Retaliation is defined as taking adverse actions affecting an individual's career, pay, role, or working conditions because they reported violations.","Apple, ihbarcıları katı bir misilleme yapmama politikası aracılığıyla korur. Şirket, iyi niyetli endişeleri dahili veya harici olarak bildiren kişilere veya soruşturmalara katılanlara karşı misillemelere tolerans göstermez. Misilleme, ihlalleri bildirdikleri için bir bireyin kariyerini, ücretini, rolünü veya çalışma koşullarını olumsuz etkileyen eylemler olarak tanımlanır."
What rights do employees have in case of retaliation?,Misilleme durumunda çalışanların hangi hakları vardır?,"In case of retaliation, employees have rights to be protected under Apple's no-retaliation policy, report retaliation (as some instances may be unlawful), freely discuss wages and working conditions, share information about harassment or discrimination, and engage in union and protected concerted activity.","Misilleme durumunda çalışanlar, Apple'ın misilleme yapmama politikası kapsamında korunma, misillemeleri bildirme (bazı durumlar yasa dışı olabilir), ücretleri ve çalışma koşullarını serbestçe tartışma, taciz veya ayrımcılık hakkında bilgi paylaşma ve sendika ve korunan toplu faaliyetlere katılma haklarına sahiptir."
What ethics training is mandatory for Apple employees?,Apple çalışanları için zorunlu iş ahlakı eğitimleri nelerdir?,"Mandatory ethics training includes annual online Business Conduct training, online Respect at Apple training, online Privacy training, and additional mandatory trainings depending on job responsibilities and location. Focused live training on Business Conduct and other relevant topics is also arranged periodically.","Zorunlu etik eğitimler arasında yıllık çevrimiçi İş Ahlakı eğitimi, çevrimiçi Apple'da Saygı eğitimi, çevrimiçi Gizlilik eğitimi ve iş sorumluluklarına ve konuma bağlı olarak ek zorunlu eğitimler bulunmaktadır. Ayrıca İş Ahlakı ve diğer ilgili konularda odaklanmış canlı eğitimler de periyodik olarak düzenlenmektedir."
How often are ethics trainings conducted and what topics do they cover?,Bu eğitimler ne sıklıkla düzenlenir ve hangi konuları kapsar?,"Business Conduct training is conducted annually. After completing training, employees must review and certify their understanding of the Business Conduct Policy. Topics include workplace behaviors, protecting Apple assets and information, individual accountability, business integrity, and other areas covered in the Policy. Additional focused training is arranged periodically.","İş Ahlakı eğitimi yıllık olarak düzenlenir. Eğitimi tamamladıktan sonra, çalışanlar İş Ahlakı Politikası'nı anladıklarını gözden geçirmeli ve onaylamalıdırlar. Konular arasında işyeri davranışları, Apple varlıklarını ve bilgilerini koruma, bireysel sorumluluk, iş bütünlüğü ve Politika'da ele alınan diğer alanlar bulunmaktadır. Ek odaklanmış eğitimler periyodik olarak düzenlenir."
