English,Turkish
What are the core principles of Apple’s Business Conduct Policy?,Apple'ın İş Ahlakı Politikasının temel ilkeleri nelerdir?
What ethical behavior does Apple expect from its employees?,"Apple, çalışanlarından hangi etik davranışları beklemektedir?"
What responsibilities do employees have regarding compliance with laws and regulations?,Çalışanların yasalara ve düzenlemelere uyum konusundaki sorumlulukları nelerdir?
What should an employee do if they suspect a policy violation?,"Bir çalışan, politika ihlali şüphesiyle karşılaştığında ne yapmalıdır?"
How does Apple’s external reporting channel (apple.ethicspoint.com) work and when should it be used?,Apple'ın dış ihbar hattı (apple.ethicspoint.com) nasıl çalışır ve hangi durumlar için kullanılmalıdır?
How is anonymity and confidentiality maintained in whistleblowing?,İhbarlarda anonimlik ve gizlilik nasıl sağlanır?
How does Apple protect employees who report concerns in good faith?,"Apple, iyi niyetli ihbarlarda bulunan çalışanları nasıl korur?"
What rights do employees have in case of retaliation?,Misilleme durumunda çalışanların hangi hakları vardır?
What ethics training is mandatory for Apple employees?,Apple çalışanları için zorunlu iş ahlakı eğitimleri nelerdir?
How often are ethics trainings conducted and what topics do they cover?,Bu eğitimler ne sıklıkla düzenlenir ve hangi konuları kapsar?
What ethical standards does Apple expect from its suppliers and business partners?,"Apple, tedarikçilerinden ve iş ortaklarından hangi etik standartlara uymalarını bekler?"
How are conflicts of interest managed in third-party relationships?,Üçüncü taraflarla ilişkilerde çıkar çatışmaları nasıl yönetilir?
How should employees protect Apple’s confidential information?,"Çalışanlar, Apple'ın gizli bilgilerini nasıl korumalıdır?"
What are Apple’s privacy policies regarding customer and employee information?,Müşteri ve çalışan bilgileriyle ilgili Apple’ın gizlilik politikaları nelerdir?
What are Apple’s expectations regarding accuracy and transparency in financial records?,Apple’ın finansal kayıtların doğruluğu ve şeffaflığı konusundaki beklentileri nelerdir?
How are accounting and auditing policies implemented at Apple?,Apple’da muhasebe ve denetim politikaları nasıl uygulanır?
